microbiome_gene,partner,score,function
TLR2,HSPA1B,998,Pattern recognition (gram-positive bacteria)
TLR2,CXCR4,894,Pattern recognition (gram-positive bacteria)
TLR2,CD40LG,753,Pattern recognition (gram-positive bacteria)
TLR2,CD44,874,Pattern recognition (gram-positive bacteria)
TLR2,TNF,951,Pattern recognition (gram-positive bacteria)
TLR2,IL1B,969,Pattern recognition (gram-positive bacteria)
TLR2,HSPD1,976,Pattern recognition (gram-positive bacteria)
TLR2,IRAK1,962,Pattern recognition (gram-positive bacteria)
TLR2,CASP1,809,Pattern recognition (gram-positive bacteria)
TLR2,ENSG00000198001,935,Pattern recognition (gram-positive bacteria)
TLR2,IL13,702,Pattern recognition (gram-positive bacteria)
TLR2,SCARF1,807,Pattern recognition (gram-positive bacteria)
TLR2,ICAM1,714,Pattern recognition (gram-positive bacteria)
TLR2,IL18,847,Pattern recognition (gram-positive bacteria)
TLR2,IL1A,870,Pattern recognition (gram-positive bacteria)
TLR2,CCL4,763,Pattern recognition (gram-positive bacteria)
TLR2,CXCR2,832,Pattern recognition (gram-positive bacteria)
TLR2,LILRB2,705,Pattern recognition (gram-positive bacteria)
TLR2,TOLLIP,997,Pattern recognition (gram-positive bacteria)
TLR2,HSP90AA1,982,Pattern recognition (gram-positive bacteria)
TLR2,FN1,917,Pattern recognition (gram-positive bacteria)
TLR2,S100A1,755,Pattern recognition (gram-positive bacteria)
TLR2,S100A9,861,Pattern recognition (gram-positive bacteria)
TLR2,SOCS3,732,Pattern recognition (gram-positive bacteria)
TLR2,CCL3,787,Pattern recognition (gram-positive bacteria)
TLR2,BGN,989,Pattern recognition (gram-positive bacteria)
TLR2,ITGAM,893,Pattern recognition (gram-positive bacteria)
TLR2,CXCL10,902,Pattern recognition (gram-positive bacteria)
TLR2,HSP90AB1,982,Pattern recognition (gram-positive bacteria)
TLR2,IL17A,766,Pattern recognition (gram-positive bacteria)
TLR2,HSPA4,992,Pattern recognition (gram-positive bacteria)
TLR2,ATG16L1,773,Pattern recognition (gram-positive bacteria)
TLR2,RELA,956,Pattern recognition (gram-positive bacteria)
TLR2,ITGB2,791,Pattern recognition (gram-positive bacteria)
TLR2,IL6,942,Pattern recognition (gram-positive bacteria)
TLR2,CXCL2,774,Pattern recognition (gram-positive bacteria)
TLR2,FCER1G,715,Pattern recognition (gram-positive bacteria)
TLR2,CXCL9,739,Pattern recognition (gram-positive bacteria)
TLR2,PRG4,773,Pattern recognition (gram-positive bacteria)
TLR2,FCGR2A,785,Pattern recognition (gram-positive bacteria)
TLR2,HSPA2,909,Pattern recognition (gram-positive bacteria)
TLR2,HSPA9,914,Pattern recognition (gram-positive bacteria)
TLR2,VCAN,923,Pattern recognition (gram-positive bacteria)
TLR2,CXCL8,883,Pattern recognition (gram-positive bacteria)
TLR2,IL10,956,Pattern recognition (gram-positive bacteria)
TLR2,FCGR2B,727,Pattern recognition (gram-positive bacteria)
TLR2,AKT1,704,Pattern recognition (gram-positive bacteria)
TLR2,EGFR,933,Pattern recognition (gram-positive bacteria)
TLR2,FSTL1,963,Pattern recognition (gram-positive bacteria)
TLR2,MMP9,802,Pattern recognition (gram-positive bacteria)
TLR2,TLR9,961,Pattern recognition (gram-positive bacteria)
TLR2,IL1R1,867,Pattern recognition (gram-positive bacteria)
TLR2,CLEC7A,998,Pattern recognition (gram-positive bacteria)
TLR2,IFNB1,910,Pattern recognition (gram-positive bacteria)
TLR2,C5AR1,922,Pattern recognition (gram-positive bacteria)
TLR2,CAMP,707,Pattern recognition (gram-positive bacteria)
TLR2,IRAK3,852,Pattern recognition (gram-positive bacteria)
TLR2,VDAC1,788,Pattern recognition (gram-positive bacteria)
TLR2,SCARB1,996,Pattern recognition (gram-positive bacteria)
TLR2,IL33,814,Pattern recognition (gram-positive bacteria)
TLR2,VCAM1,723,Pattern recognition (gram-positive bacteria)
TLR2,ALB,733,Pattern recognition (gram-positive bacteria)
TLR2,TIRAP,999,Pattern recognition (gram-positive bacteria)
TLR2,CD8A,748,Pattern recognition (gram-positive bacteria)
TLR2,HSPA8,953,Pattern recognition (gram-positive bacteria)
TLR2,ERVW-1,700,Pattern recognition (gram-positive bacteria)
TLR2,CCL5,739,Pattern recognition (gram-positive bacteria)
TLR2,CXCL1,879,Pattern recognition (gram-positive bacteria)
TLR2,CD163,835,Pattern recognition (gram-positive bacteria)
TLR2,CD80,749,Pattern recognition (gram-positive bacteria)
TLR2,ENSG00000268500,709,Pattern recognition (gram-positive bacteria)
TLR2,HSPA1L,910,Pattern recognition (gram-positive bacteria)
TLR2,C3AR1,753,Pattern recognition (gram-positive bacteria)
TLR2,FCGR3A,777,Pattern recognition (gram-positive bacteria)
TLR2,HSPA6,926,Pattern recognition (gram-positive bacteria)
TLR2,CSF2,798,Pattern recognition (gram-positive bacteria)
TLR2,DDX58,743,Pattern recognition (gram-positive bacteria)
TLR2,DEFB4A,758,Pattern recognition (gram-positive bacteria)
TLR2,TLR8,893,Pattern recognition (gram-positive bacteria)
TLR2,NLRC4,701,Pattern recognition (gram-positive bacteria)
TLR2,HMGB1,998,Pattern recognition (gram-positive bacteria)
TLR2,CD14,992,Pattern recognition (gram-positive bacteria)
TLR2,CD47,783,Pattern recognition (gram-positive bacteria)
TLR2,AGER,814,Pattern recognition (gram-positive bacteria)
TLR2,TLR10,992,Pattern recognition (gram-positive bacteria)
TLR2,TLR5,982,Pattern recognition (gram-positive bacteria)
TLR2,ENO1,709,Pattern recognition (gram-positive bacteria)
TLR2,CD40,911,Pattern recognition (gram-positive bacteria)
TLR2,HSP90B1,977,Pattern recognition (gram-positive bacteria)
TLR2,NOD2,983,Pattern recognition (gram-positive bacteria)
TLR2,MYD88,999,Pattern recognition (gram-positive bacteria)
TLR2,LY96,997,Pattern recognition (gram-positive bacteria)
TLR2,PTGS2,756,Pattern recognition (gram-positive bacteria)
TLR2,S100A8,858,Pattern recognition (gram-positive bacteria)
TLR2,ITGAX,763,Pattern recognition (gram-positive bacteria)
TLR2,IRF7,784,Pattern recognition (gram-positive bacteria)
TLR2,CD36,998,Pattern recognition (gram-positive bacteria)
TLR2,TLR4,999,Pattern recognition (gram-positive bacteria)
TLR2,PTPRC,712,Pattern recognition (gram-positive bacteria)
TLR2,CSF1R,765,Pattern recognition (gram-positive bacteria)
TLR2,MARCO,814,Pattern recognition (gram-positive bacteria)
TLR2,CYBB,786,Pattern recognition (gram-positive bacteria)
TLR2,MSR1,732,Pattern recognition (gram-positive bacteria)
TLR2,TMED7-TICAM2,783,Pattern recognition (gram-positive bacteria)
TLR2,DEFB103A,854,Pattern recognition (gram-positive bacteria)
TLR2,TLR3,854,Pattern recognition (gram-positive bacteria)
TLR2,IRF3,876,Pattern recognition (gram-positive bacteria)
TLR2,IFNA1,792,Pattern recognition (gram-positive bacteria)
TLR2,TICAM2,989,Pattern recognition (gram-positive bacteria)
TLR4,CD4,902,LPS recognition (gram-negative bacteria)
TLR4,DCN,988,LPS recognition (gram-negative bacteria)
TLR4,TNFRSF1A,949,LPS recognition (gram-negative bacteria)
TLR4,APOH,842,LPS recognition (gram-negative bacteria)
TLR4,HMOX1,719,LPS recognition (gram-negative bacteria)
TLR4,TAB1,767,LPS recognition (gram-negative bacteria)
TLR4,RIPK3,832,LPS recognition (gram-negative bacteria)
TLR4,NFKBIA,872,LPS recognition (gram-negative bacteria)
TLR4,LBP,979,LPS recognition (gram-negative bacteria)
TLR4,MEFV,724,LPS recognition (gram-negative bacteria)
TLR4,RIPK2,756,LPS recognition (gram-negative bacteria)
TLR4,RETN,993,LPS recognition (gram-negative bacteria)
TLR4,TGFB1,721,LPS recognition (gram-negative bacteria)
TLR4,PIK3R2,912,LPS recognition (gram-negative bacteria)
TLR4,NOD1,801,LPS recognition (gram-negative bacteria)
TLR4,SERPINE1,721,LPS recognition (gram-negative bacteria)
TLR4,MPO,728,LPS recognition (gram-negative bacteria)
TLR4,CSF3,757,LPS recognition (gram-negative bacteria)
TLR4,CCL2,847,LPS recognition (gram-negative bacteria)
TLR4,NFKB1,993,LPS recognition (gram-negative bacteria)
TLR4,IL2,731,LPS recognition (gram-negative bacteria)
TLR4,IFNG,946,LPS recognition (gram-negative bacteria)
TLR4,MAPK14,762,LPS recognition (gram-negative bacteria)
TLR4,IL4,869,LPS recognition (gram-negative bacteria)
TLR4,LTF,827,LPS recognition (gram-negative bacteria)
TLR4,LRP1,774,LPS recognition (gram-negative bacteria)
TLR4,IRF1,818,LPS recognition (gram-negative bacteria)
TLR4,TNFSF9,792,LPS recognition (gram-negative bacteria)
TLR4,PYCARD,760,LPS recognition (gram-negative bacteria)
TLR4,TICAM1,999,LPS recognition (gram-negative bacteria)
TLR4,CD68,726,LPS recognition (gram-negative bacteria)
TLR4,APOE,777,LPS recognition (gram-negative bacteria)
TLR4,LGALS3,938,LPS recognition (gram-negative bacteria)
TLR4,CD180,904,LPS recognition (gram-negative bacteria)
TLR4,IRAK2,935,LPS recognition (gram-negative bacteria)
TLR4,NMBR,774,LPS recognition (gram-negative bacteria)
TLR4,TANK,745,LPS recognition (gram-negative bacteria)
TLR4,IL1RN,752,LPS recognition (gram-negative bacteria)
TLR4,RIPK1,962,LPS recognition (gram-negative bacteria)
TLR4,TLR2,999,LPS recognition (gram-negative bacteria)
TLR4,IRAK3,822,LPS recognition (gram-negative bacteria)
TLR4,SCARB1,996,LPS recognition (gram-negative bacteria)
TLR4,TYROBP,736,LPS recognition (gram-negative bacteria)
TLR4,PIK3R3,909,LPS recognition (gram-negative bacteria)
TLR4,CNPY4,760,LPS recognition (gram-negative bacteria)
TLR4,MAPK3,824,LPS recognition (gram-negative bacteria)
TLR4,NOX4,996,LPS recognition (gram-negative bacteria)
TLR4,IL1A,974,LPS recognition (gram-negative bacteria)
TLR4,IL1B,986,LPS recognition (gram-negative bacteria)
TLR4,BIRC3,797,LPS recognition (gram-negative bacteria)
TLR4,SELP,885,LPS recognition (gram-negative bacteria)
TLR4,PIK3CA,928,LPS recognition (gram-negative bacteria)
TLR4,CD80,801,LPS recognition (gram-negative bacteria)
TLR4,STAT3,846,LPS recognition (gram-negative bacteria)
TLR4,ICAM1,768,LPS recognition (gram-negative bacteria)
TLR4,SCARB2,996,LPS recognition (gram-negative bacteria)
TLR4,ITIH4,704,LPS recognition (gram-negative bacteria)
TLR4,ECSIT,700,LPS recognition (gram-negative bacteria)
TLR4,FCGR2A,818,LPS recognition (gram-negative bacteria)
TLR4,CTSK,820,LPS recognition (gram-negative bacteria)
TLR4,AHSG,988,LPS recognition (gram-negative bacteria)
TLR4,EGFR,739,LPS recognition (gram-negative bacteria)
TLR4,IFNA1,807,LPS recognition (gram-negative bacteria)
TLR4,IL18,908,LPS recognition (gram-negative bacteria)
TLR4,TMED7-TICAM2,847,LPS recognition (gram-negative bacteria)
TLR4,LY96,999,LPS recognition (gram-negative bacteria)
TLR4,CSF1R,800,LPS recognition (gram-negative bacteria)
TLR4,PPARG,738,LPS recognition (gram-negative bacteria)
TLR4,NCF1,733,LPS recognition (gram-negative bacteria)
TLR4,S100B,844,LPS recognition (gram-negative bacteria)
TLR4,S100A1,836,LPS recognition (gram-negative bacteria)
TLR4,CCR2,738,LPS recognition (gram-negative bacteria)
TLR4,CCR5,788,LPS recognition (gram-negative bacteria)
TLR4,VCAM1,772,LPS recognition (gram-negative bacteria)
TLR4,FSTL1,775,LPS recognition (gram-negative bacteria)
TLR4,RETNLB,991,LPS recognition (gram-negative bacteria)
TLR4,ALB,821,LPS recognition (gram-negative bacteria)
TLR4,CCR1,725,LPS recognition (gram-negative bacteria)
TLR4,CAMP,851,LPS recognition (gram-negative bacteria)
TLR4,TLR3,907,LPS recognition (gram-negative bacteria)
TLR4,CSF2,781,LPS recognition (gram-negative bacteria)
TLR4,HSPA9,917,LPS recognition (gram-negative bacteria)
TLR4,HSP90B1,988,LPS recognition (gram-negative bacteria)
TLR4,NOD2,899,LPS recognition (gram-negative bacteria)
TLR4,FADD,861,LPS recognition (gram-negative bacteria)
TLR4,CLEC7A,978,LPS recognition (gram-negative bacteria)
TLR4,HSPA4,996,LPS recognition (gram-negative bacteria)
TLR4,DEFB4A,986,LPS recognition (gram-negative bacteria)
TLR4,IL13,806,LPS recognition (gram-negative bacteria)
TLR4,CXCL10,969,LPS recognition (gram-negative bacteria)
TLR4,CXCL8,933,LPS recognition (gram-negative bacteria)
TLR4,CASP3,740,LPS recognition (gram-negative bacteria)
TLR4,TLR8,712,LPS recognition (gram-negative bacteria)
TLR4,TOLLIP,990,LPS recognition (gram-negative bacteria)
TLR4,CD209,779,LPS recognition (gram-negative bacteria)
TLR4,UBE2N,932,LPS recognition (gram-negative bacteria)
TLR4,NCL,728,LPS recognition (gram-negative bacteria)
TLR4,CXCR2,807,LPS recognition (gram-negative bacteria)
TLR4,CALR,953,LPS recognition (gram-negative bacteria)
TLR4,TAC1,723,LPS recognition (gram-negative bacteria)
TLR4,NOS2,754,LPS recognition (gram-negative bacteria)
TLR4,BGN,994,LPS recognition (gram-negative bacteria)
TLR4,TBK1,957,LPS recognition (gram-negative bacteria)
TLR4,SOCS3,784,LPS recognition (gram-negative bacteria)
TLR4,P2RX7,725,LPS recognition (gram-negative bacteria)
TLR4,CD86,841,LPS recognition (gram-negative bacteria)
TLR4,F3,717,LPS recognition (gram-negative bacteria)
TLR4,HSP90AA1,987,LPS recognition (gram-negative bacteria)
TLR4,NLRP3,874,LPS recognition (gram-negative bacteria)
TLR4,CAV1,962,LPS recognition (gram-negative bacteria)
TLR4,HSPD1,999,LPS recognition (gram-negative bacteria)
TLR4,HMGB1,999,LPS recognition (gram-negative bacteria)
TLR4,ANXA2,968,LPS recognition (gram-negative bacteria)
TLR4,FN1,995,LPS recognition (gram-negative bacteria)
TLR4,OCLN,746,LPS recognition (gram-negative bacteria)
TLR4,CASP8,885,LPS recognition (gram-negative bacteria)
TLR4,CD163,814,LPS recognition (gram-negative bacteria)
TLR4,TLR9,979,LPS recognition (gram-negative bacteria)
TLR4,STAT1,867,LPS recognition (gram-negative bacteria)
TLR4,TLR1,996,LPS recognition (gram-negative bacteria)
TLR4,CD47,768,LPS recognition (gram-negative bacteria)
TLR4,AGT,866,LPS recognition (gram-negative bacteria)
TLR4,TAB2,785,LPS recognition (gram-negative bacteria)
TLR4,PTGS2,787,LPS recognition (gram-negative bacteria)
TLR4,FCGR3A,941,LPS recognition (gram-negative bacteria)
TLR4,IL6R,712,LPS recognition (gram-negative bacteria)
TLR4,S100A8,907,LPS recognition (gram-negative bacteria)
TLR4,S100A12,970,LPS recognition (gram-negative bacteria)
TLR4,S100A9,969,LPS recognition (gram-negative bacteria)
TLR4,MAP3K7,972,LPS recognition (gram-negative bacteria)
TLR4,IRAK1,998,LPS recognition (gram-negative bacteria)
TLR4,CHUK,852,LPS recognition (gram-negative bacteria)
TLR4,CD40LG,889,LPS recognition (gram-negative bacteria)
TLR4,JUN,741,LPS recognition (gram-negative bacteria)
TLR4,HSP90AB1,988,LPS recognition (gram-negative bacteria)
TLR4,CARD9,749,LPS recognition (gram-negative bacteria)
TLR4,GHITM,921,LPS recognition (gram-negative bacteria)
TLR4,CD40,918,LPS recognition (gram-negative bacteria)
TLR4,MMP9,934,LPS recognition (gram-negative bacteria)
TLR4,CNPY3,806,LPS recognition (gram-negative bacteria)
TLR4,TREM2,762,LPS recognition (gram-negative bacteria)
TLR4,SRC,880,LPS recognition (gram-negative bacteria)
TLR4,MBL2,720,LPS recognition (gram-negative bacteria)
TLR4,ACE2,714,LPS recognition (gram-negative bacteria)
TLR4,TLR5,992,LPS recognition (gram-negative bacteria)
TLR4,TAB3,718,LPS recognition (gram-negative bacteria)
TLR4,NMB,747,LPS recognition (gram-negative bacteria)
TLR4,CD14,995,LPS recognition (gram-negative bacteria)
TLR4,THBD,739,LPS recognition (gram-negative bacteria)
TLR4,AGER,940,LPS recognition (gram-negative bacteria)
TLR4,DDX58,815,LPS recognition (gram-negative bacteria)
TLR4,NLRC4,881,LPS recognition (gram-negative bacteria)
TLR4,PIK3R1,925,LPS recognition (gram-negative bacteria)
TLR4,IRF3,947,LPS recognition (gram-negative bacteria)
TLR4,TICAM2,999,LPS recognition (gram-negative bacteria)
TLR4,CYBB,902,LPS recognition (gram-negative bacteria)
TLR4,MRC1,790,LPS recognition (gram-negative bacteria)
TLR4,FCGR3B,912,LPS recognition (gram-negative bacteria)
TLR4,PTPRC,768,LPS recognition (gram-negative bacteria)
TLR4,CD36,998,LPS recognition (gram-negative bacteria)
TLR4,MYD88,999,LPS recognition (gram-negative bacteria)
TLR4,ITGAX,769,LPS recognition (gram-negative bacteria)
TLR4,IRF7,898,LPS recognition (gram-negative bacteria)
TLR4,IFIH1,811,LPS recognition (gram-negative bacteria)
TLR4,TRIL,957,LPS recognition (gram-negative bacteria)
TLR4,IL1R1,944,LPS recognition (gram-negative bacteria)
TLR4,IFNB1,998,LPS recognition (gram-negative bacteria)
TLR4,SIGIRR,923,LPS recognition (gram-negative bacteria)
TLR4,AKT1,769,LPS recognition (gram-negative bacteria)
TLR4,DEFB4B,901,LPS recognition (gram-negative bacteria)
TLR4,IKBKE,888,LPS recognition (gram-negative bacteria)
TLR4,IKBKG,960,LPS recognition (gram-negative bacteria)
TLR4,CXCL12,821,LPS recognition (gram-negative bacteria)
TLR4,IL10,943,LPS recognition (gram-negative bacteria)
TLR4,CCL5,820,LPS recognition (gram-negative bacteria)
TLR4,CXCL1,717,LPS recognition (gram-negative bacteria)
TLR4,ERVW-1,982,LPS recognition (gram-negative bacteria)
TLR4,CD8A,847,LPS recognition (gram-negative bacteria)
TLR4,IL33,843,LPS recognition (gram-negative bacteria)
TLR4,TIRAP,999,LPS recognition (gram-negative bacteria)
TLR4,GDF5,725,LPS recognition (gram-negative bacteria)
TLR4,ITGAM,920,LPS recognition (gram-negative bacteria)
TLR4,FPR1,765,LPS recognition (gram-negative bacteria)
TLR4,CCL3,815,LPS recognition (gram-negative bacteria)
TLR4,LY86,854,LPS recognition (gram-negative bacteria)
TLR4,ERV3-1,750,LPS recognition (gram-negative bacteria)
TLR4,ERVFRD-1,750,LPS recognition (gram-negative bacteria)
TLR4,CCL4,749,LPS recognition (gram-negative bacteria)
TLR4,CREB1,749,LPS recognition (gram-negative bacteria)
TLR4,IL6,973,LPS recognition (gram-negative bacteria)
TLR4,CXCL2,849,LPS recognition (gram-negative bacteria)
TLR4,ELANE,732,LPS recognition (gram-negative bacteria)
TLR4,PRG4,717,LPS recognition (gram-negative bacteria)
TLR4,PTAFR,723,LPS recognition (gram-negative bacteria)
TLR4,RELA,966,LPS recognition (gram-negative bacteria)
TLR4,SAA1,744,LPS recognition (gram-negative bacteria)
TLR4,BIRC2,804,LPS recognition (gram-negative bacteria)
TLR4,PIK3CB,924,LPS recognition (gram-negative bacteria)
TLR4,TLR7,940,LPS recognition (gram-negative bacteria)
TLR4,IL17A,867,LPS recognition (gram-negative bacteria)
TLR4,SARM1,974,LPS recognition (gram-negative bacteria)
TLR4,HSPA1B,941,LPS recognition (gram-negative bacteria)
TLR4,TNF,969,LPS recognition (gram-negative bacteria)
TLR4,CXCR4,824,LPS recognition (gram-negative bacteria)
TLR4,PIK3CD,934,LPS recognition (gram-negative bacteria)
TLR4,CD44,983,LPS recognition (gram-negative bacteria)
TLR4,TLR6,999,LPS recognition (gram-negative bacteria)
TLR4,SNCA,752,LPS recognition (gram-negative bacteria)
TLR4,BTK,831,LPS recognition (gram-negative bacteria)
TLR4,JAK2,793,LPS recognition (gram-negative bacteria)
TLR4,TRAF6,999,LPS recognition (gram-negative bacteria)
TLR4,SYK,971,LPS recognition (gram-negative bacteria)
TLR4,IKBKB,903,LPS recognition (gram-negative bacteria)
TLR4,AIF1,722,LPS recognition (gram-negative bacteria)
TLR4,XDH,820,LPS recognition (gram-negative bacteria)
TLR4,CIRBP,854,LPS recognition (gram-negative bacteria)
TLR4,FPR2,724,LPS recognition (gram-negative bacteria)
TLR4,TRAF3,990,LPS recognition (gram-negative bacteria)
TLR4,GAPDH,761,LPS recognition (gram-negative bacteria)
TLR4,ACTB,745,LPS recognition (gram-negative bacteria)
TLR4,INS,710,LPS recognition (gram-negative bacteria)
TLR4,BCL2,724,LPS recognition (gram-negative bacteria)
TLR4,SELL,743,LPS recognition (gram-negative bacteria)
TLR4,CASP1,916,LPS recognition (gram-negative bacteria)
TLR4,ENSG00000198001,999,LPS recognition (gram-negative bacteria)
TLR5,NFKBIA,719,Flagellin recognition
TLR5,NOD1,744,Flagellin recognition
TLR5,NFKB1,977,Flagellin recognition
TLR5,IFNG,769,Flagellin recognition
TLR5,TLR2,982,Flagellin recognition
TLR5,IRAK3,731,Flagellin recognition
TLR5,IL1A,841,Flagellin recognition
TLR5,IL1B,830,Flagellin recognition
TLR5,IL18,767,Flagellin recognition
TLR5,LY96,888,Flagellin recognition
TLR5,FSTL1,723,Flagellin recognition
TLR5,NOD2,867,Flagellin recognition
TLR5,CXCL8,791,Flagellin recognition
TLR5,TLR8,731,Flagellin recognition
TLR5,PFN4,709,Flagellin recognition
TLR5,HMGB1,896,Flagellin recognition
TLR5,PFN3,702,Flagellin recognition
TLR5,TLR1,860,Flagellin recognition
TLR5,IRAK1,900,Flagellin recognition
TLR5,TLR4,992,Flagellin recognition
TLR5,TLR7,778,Flagellin recognition
TLR5,TIRAP,940,Flagellin recognition
TLR5,RELA,946,Flagellin recognition
TLR5,NLRC4,758,Flagellin recognition
TLR5,IL6,824,Flagellin recognition
TLR5,IL1R1,838,Flagellin recognition
TLR5,TLR6,852,Flagellin recognition
TLR5,TNF,834,Flagellin recognition
TLR5,SIGIRR,846,Flagellin recognition
TLR5,IL10,818,Flagellin recognition
TLR5,TRAF6,969,Flagellin recognition
TLR5,ENSG00000198001,719,Flagellin recognition
TLR5,MYD88,999,Flagellin recognition
TLR9,CD4,868,Bacterial CpG DNA recognition
TLR9,NFKBIA,719,Bacterial CpG DNA recognition
TLR9,NFKB1,828,Bacterial CpG DNA recognition
TLR9,IL2,777,Bacterial CpG DNA recognition
TLR9,UNC93B1,970,Bacterial CpG DNA recognition
TLR9,IFNG,891,Bacterial CpG DNA recognition
TLR9,IL4,780,Bacterial CpG DNA recognition
TLR9,IRF1,701,Bacterial CpG DNA recognition
TLR9,CCR7,701,Bacterial CpG DNA recognition
TLR9,TICAM1,969,Bacterial CpG DNA recognition
TLR9,IRAK2,846,Bacterial CpG DNA recognition
TLR9,TLR2,961,Bacterial CpG DNA recognition
TLR9,TNFRSF13B,722,Bacterial CpG DNA recognition
TLR9,IL1A,897,Bacterial CpG DNA recognition
TLR9,IL1B,975,Bacterial CpG DNA recognition
TLR9,CD80,740,Bacterial CpG DNA recognition
TLR9,ICAM1,708,Bacterial CpG DNA recognition
TLR9,FCGR2A,756,Bacterial CpG DNA recognition
TLR9,IFNA1,899,Bacterial CpG DNA recognition
TLR9,IL18,808,Bacterial CpG DNA recognition
TLR9,LY96,808,Bacterial CpG DNA recognition
TLR9,FGFR4,709,Bacterial CpG DNA recognition
TLR9,CAMP,967,Bacterial CpG DNA recognition
TLR9,TLR3,856,Bacterial CpG DNA recognition
TLR9,HSP90B1,806,Bacterial CpG DNA recognition
TLR9,NOD2,920,Bacterial CpG DNA recognition
TLR9,CLEC7A,783,Bacterial CpG DNA recognition
TLR9,IRS1,741,Bacterial CpG DNA recognition
TLR9,CXCL10,761,Bacterial CpG DNA recognition
TLR9,CXCL8,776,Bacterial CpG DNA recognition
TLR9,TLR8,869,Bacterial CpG DNA recognition
TLR9,CD19,710,Bacterial CpG DNA recognition
TLR9,EEA1,820,Bacterial CpG DNA recognition
TLR9,TBK1,857,Bacterial CpG DNA recognition
TLR9,IFNL1,767,Bacterial CpG DNA recognition
TLR9,CD86,747,Bacterial CpG DNA recognition
TLR9,NLRP3,746,Bacterial CpG DNA recognition
TLR9,HMGB1,997,Bacterial CpG DNA recognition
TLR9,CASP1,771,Bacterial CpG DNA recognition
TLR9,IRAK1,988,Bacterial CpG DNA recognition
TLR9,ENSG00000198001,942,Bacterial CpG DNA recognition
TLR9,TRAF3,796,Bacterial CpG DNA recognition
TLR9,BECN1,861,Bacterial CpG DNA recognition
TLR9,BTK,911,Bacterial CpG DNA recognition
TLR9,TRAF6,982,Bacterial CpG DNA recognition
TLR9,SYK,824,Bacterial CpG DNA recognition
TLR9,FGFR1,701,Bacterial CpG DNA recognition
TLR9,TNF,896,Bacterial CpG DNA recognition
TLR9,CHUK,726,Bacterial CpG DNA recognition
TLR9,CD40LG,847,Bacterial CpG DNA recognition
TLR9,IFNA2,833,Bacterial CpG DNA recognition
TLR9,TLR7,992,Bacterial CpG DNA recognition
TLR9,IL6,895,Bacterial CpG DNA recognition
TLR9,CCL4,709,Bacterial CpG DNA recognition
TLR9,FPR1,724,Bacterial CpG DNA recognition
TLR9,ITGAM,797,Bacterial CpG DNA recognition
TLR9,IFNA17,744,Bacterial CpG DNA recognition
TLR9,CD8A,850,Bacterial CpG DNA recognition
TLR9,CNPY3,748,Bacterial CpG DNA recognition
TLR9,TIRAP,988,Bacterial CpG DNA recognition
TLR9,FCGR3A,755,Bacterial CpG DNA recognition
TLR9,IKBKE,711,Bacterial CpG DNA recognition
TLR9,IL10,868,Bacterial CpG DNA recognition
TLR9,CGAS,812,Bacterial CpG DNA recognition
TLR9,IFIH1,720,Bacterial CpG DNA recognition
TLR9,IFNB1,874,Bacterial CpG DNA recognition
TLR9,IL1R1,801,Bacterial CpG DNA recognition
TLR9,FCGR3B,758,Bacterial CpG DNA recognition
TLR9,FLT3LG,752,Bacterial CpG DNA recognition
TLR9,PTPRC,751,Bacterial CpG DNA recognition
TLR9,TLR4,979,Bacterial CpG DNA recognition
