DRUG_NAME,median_auc,mean_auc,n_cell_lines
Venetoclax,0.9668955,0.9642330800000001,50
LGK974,0.9669085,0.96467918,50
Ibrutinib,0.967028,0.956504,47
VTP-A,0.967103,0.9641317352941177,34
AGI-5198,0.967263,0.96327298,50
GSK-LSD1-2HCl ,0.967503,0.966021794117647,34
ICL-SIRT078,0.9680599999999999,0.9595335625,32
Acetalax,0.968146,0.9385809166666667,60
WZ4003,0.968155,0.9572138510638298,47
CHIR-99021,0.968182,0.9589959411764707,17
L-Oxonoreleagnine,0.9686615000000001,0.9673134333333333,30
THR-103,0.968805,0.9648312727272726,33
RVX-208,0.969343,0.9627669999999999,47
AGI-6780,0.969354,0.9615140425531916,47
615590,0.9694445,0.9688460333333333,30
LCL161,0.969587,0.9539071914893618,47
Rucaparib,0.969796,0.9661585599999999,50
glutathione,0.969926,0.9676584411764706,34
SGC-CBP30,0.970434,0.9674192333333332,30
Sinularin,0.9706465,0.9663754333333333,30
Gallibiscoquinazole,0.9706980000000001,0.9657047666666667,30
LY2109761,0.971253,0.9674083617021276,47
Vismodegib,0.9713560000000001,0.9699736,50
IRAK4_4710,0.971452,0.9684315666666666,30
GSK2578215A,0.971599,0.9664971,50
AZD3759,0.971628,0.9697744509803922,51
Dacarbazine,0.9716675,0.9712894333333334,30
Ruxolitinib,0.971823,0.966619829787234,47
GSK-LSD1,0.972167,0.9655933333333333,30
Savolitinib,0.972371,0.96524592,50
729189,0.972553,0.9679875333333333,30
Nutlin-3a (-),0.972658,0.9428641764705882,51
A-366,0.972687,0.9685706764705884,34
Dabrafenib,0.972796,0.956141918367347,49
BIBR-1532,0.97298,0.9688387142857143,49
GSK2276186C,0.9729975,0.9679207333333333,30
720427,0.9733105,0.9710764,30
Fludarabine,0.9734,0.9448436,30
BDF00022089a,0.973444,0.9679862666666667,30
P22077,0.9736199999999999,0.9636028600000001,50
123138,0.973735,0.9726990333333333,30
JNK Inhibitor VIII,0.973995,0.9685220784313726,51
Linsitinib,0.974172,0.970901294117647,51
Avagacestat,0.9742029999999999,0.9638952999999999,50
Doramapimod,0.974224,0.9674141764705882,51
VTP-B,0.9744595,0.9745436764705881,34
GSK2801,0.9745900000000001,0.9725938000000001,30
Bosutinib,0.974766,0.9676681,50
Gefitinib,0.9748815,0.9727388600000001,50
CZC24832,0.974969,0.9712325319148936,47
THR-102,0.975047,0.974203696969697,33
SB216763,0.975273,0.9721144117647059,51
N27922-53-1,0.975419,0.9721806060606061,33
CCT007093,0.9755275,0.9709592708333333,48
alpha-lipoic acid,0.975905,0.9739356285714286,35
GSK343,0.976054,0.9673265949367089,79
Temozolomide,0.976252,0.9718266666666666,51
GDC0810,0.9764115,0.97176326,50
SGC0946,0.976466,0.9730511960784314,51
BDILV000379a,0.9770735,0.9726575666666667,30
Ribociclib,0.977112,0.9713748823529411,51
GW441756,0.977255,0.9732055882352941,51
765771,0.9772689999999999,0.9738031,30
MIRA-1,0.977528,0.9741355098039216,51
LMB_AB3,0.977636,0.97632,30
LJI308,0.977653,0.969492137254902,51
IWP-2,0.977743,0.9730322765957448,47
EPZ004777,0.9777785,0.9748575599999999,50
Fulvestrant,0.9777945,0.9756220624999999,80
Cyclophosphamide,0.978032,0.9756483,50
IOX2,0.978348,0.9761958823529412,17
ascorbate (vitamin C),0.97835,0.9604231470588235,34
AZD1208,0.9786635,0.9778508,30
IAP_5620,0.9786815,0.9635997,30
Veliparib,0.9787885000000001,0.9746777,50
KU-55933,0.978867,0.9733348039215687,51
Picolinici-acid,0.978935,0.9763039574468084,47
PFI3,0.979126,0.9764050851063829,47
THR-101,0.979249,0.975398393939394,33
AZD5991,0.9799605,0.9602077,30
GSK3337463A,0.98002,0.9807186333333334,30
N30652-18-1,0.980077,0.9799331515151516,33
N29087-69-1,0.980087,0.9789730909090909,33
Lenalidomide,0.980459,0.9776033,50
GSK2256098C,0.9805555,0.9771332666666667,30
LMB_AB2,0.9807295,0.9799857,30
EPZ5676,0.980846,0.9792418,50
UNC0638,0.9812080000000001,0.975023088235294,34
Zoledronate,0.981211,0.9795461333333333,30
Nelarabine,0.981263,0.9786439666666666,30
GSK626616AC,0.9812845,0.9805988666666666,30
LMB_AB1,0.9814655,0.9803030333333334,30
GSK2830371A,0.982001,0.9795505666666667,30
SB590885,0.9821295000000001,0.97840788,50
Motesanib,0.982438,0.9771124400000001,50
GSK2830371,0.983264,0.980449181818182,33
